disasterNumber,incidentType,declarationTitle,fips_code,state,designatedArea,incidentBeginDate,industry,post_disaster_exits,baseline_exits,excess_exits
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Translation and Localization,0,1,-1
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Computer Software,0,2,-2
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Capital Markets,0,1,-1
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Non-Profit Organization Management,1,0,1
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Education,0,1,-1
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Oil & Energy,1,3,-2
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Chemicals,0,1,-1
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Law Practice,0,2,-2
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Executive Office,1,0,1
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,E-Learning,0,1,-1
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Aviation & Aerospace,1,0,1
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Primary/Secondary Education,0,1,-1
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Construction,0,1,-1
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Advertising Services,1,0,1
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Management Consulting,0,1,-1
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Banking,1,0,1
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Information Services,1,0,1
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Information Technology and Services,1,1,0
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Financial Services,0,2,-2
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Writing and Editing,1,0,1
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Medical Practice,1,0,1
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Transportation/Trucking/Railroad,1,0,1
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Higher Education,5,4,1
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Education Management,1,2,-1
