state,incidentType,total_disasters,avg_monthly,max_monthly,months_with_data
KY,Severe Storm,1355,35.66,101,38
MO,Severe Storm,1342,33.55,94,40
KS,Severe Storm,1024,23.27,70,44
OK,Severe Storm,888,21.14,63,42
TN,Severe Storm,875,21.34,79,41
FL,Hurricane,856,29.52,165,29
LA,Hurricane,803,40.15,99,20
TX,Severe Storm,756,39.79,254,19
NE,Severe Storm,750,20.83,62,36
IA,Severe Storm,743,24.77,85,30
IA,Flood,722,30.08,99,24
MS,Severe Storm,693,17.32,52,40
IN,Severe Storm,667,26.68,87,25
MN,Flood,665,23.75,70,28
AR,Severe Storm,660,20.62,60,32
ND,Flood,613,21.89,53,28
TX,Flood,610,15.25,83,40
TX,Hurricane,558,39.86,254,14
GA,Hurricane,556,69.5,159,8
NC,Hurricane,551,30.61,66,18
AL,Severe Storm,547,12.72,67,43
PR,Hurricane,543,54.3,110,10
KY,Flood,490,22.27,67,22
OH,Severe Storm,478,20.78,88,23
VA,Severe Storm,470,23.5,109,20
ND,Severe Storm,466,18.64,53,25
SD,Severe Storm,452,15.59,67,29
TX,Fire,441,147.0,254,3
SD,Flood,438,25.76,66,17
ME,Biological,434,434.0,434,1
WV,Severe Storm,433,16.04,49,27
MN,Severe Storm,433,18.04,57,24
VA,Hurricane,424,38.55,100,11
GA,Severe Storm,422,24.82,119,17
MS,Hurricane,420,30.0,82,14
MO,Flood,415,23.06,105,18
PR,Flood,375,34.09,78,11
CA,Severe Storm,375,28.85,57,13
CA,Flood,357,11.16,44,32
NY,Severe Storm,349,12.46,62,28
NE,Flood,345,26.54,84,13
VA,Snowstorm,326,65.2,136,5
OK,Severe Ice Storm,326,40.75,77,8
IL,Flood,323,19.0,52,17
LA,Flood,310,13.48,37,23
PA,Flood,304,13.82,67,22
WV,Flood,304,11.26,36,27
TX,Severe Ice Storm,300,150.0,254,2
IL,Severe Storm,297,12.38,33,24
AR,Flood,292,18.25,43,16
WI,Severe Storm,281,14.79,47,19
VA,Flood,278,23.17,106,12
FL,Severe Storm,272,12.36,55,22
WA,Flood,271,10.04,24,27
AL,Hurricane,264,16.5,67,16
SC,Hurricane,264,24.0,46,11
TN,Flood,263,15.47,59,17
WA,Severe Storm,263,13.84,38,19
KY,Snowstorm,259,64.75,120,4
TX,Biological,254,254.0,254,1
IN,Flood,230,20.91,73,11
PR,Severe Storm,224,24.89,78,9
PA,Severe Storm,219,15.64,67,14
NY,Flood,219,9.52,41,23
OK,Flood,211,11.72,41,18
WI,Flood,204,10.74,34,19
SD,Biological,196,196.0,196,1
KS,Flood,179,19.89,64,9
VT,Severe Storm,173,6.41,11,27
OR,Severe Storm,167,9.82,30,17
LA,Severe Storm,163,10.87,38,15
GA,Biological,159,159.0,159,1
OH,Flood,157,10.47,28,15
ME,Severe Storm,157,6.83,16,23
MI,Flood,156,12.0,30,13
GA,Tornado,148,16.44,55,9
KY,Severe Ice Storm,148,74.0,103,2
FL,Freezing,147,24.5,49,6
CO,Flood,143,13.0,18,11
MO,Severe Ice Storm,142,35.5,43,4
NC,Severe Storm,141,14.1,33,10
OK,Tornado,141,11.75,29,12
MT,Flood,136,9.71,16,14
MT,Severe Storm,134,10.31,49,13
VA,Biological,134,134.0,134,1
TN,Tornado,126,18.0,45,7
PA,Hurricane,126,21.0,67,6
IL,Tornado,125,12.5,68,10
OR,Flood,122,10.17,36,12
KY,Biological,120,120.0,120,1
KS,Biological,119,119.0,119,1
NJ,Severe Storm,116,6.11,17,19
MO,Biological,115,115.0,115,1
KY,Tornado,113,18.83,34,6
CA,Fire,113,4.71,20,24
VT,Flood,113,5.65,14,20
AR,Severe Ice Storm,107,26.75,67,4
ME,Flood,106,7.07,15,15
MI,Severe Storm,105,10.5,29,10
NY,Snowstorm,105,10.5,28,10
OH,Tornado,104,13.0,26,8
MS,Flood,104,17.33,30,6
NC,Snowstorm,104,52.0,70,2
IL,Biological,102,102.0,102,1
MD,Snowstorm,102,17.0,24,6
PA,Snowstorm,101,33.67,51,3
OK,Fire,100,20.0,77,5
NC,Biological,100,100.0,100,1
NH,Severe Storm,100,4.17,10,24
IA,Biological,99,99.0,99,1
NY,Hurricane,97,10.78,32,9
TN,Biological,95,95.0,95,1
