state,disaster_type,total_historical,cv_mae,cv_rmse,peak_months
AK,Severe Storm,72,0.141,0.241,"September, October, November"
AK,Flood,61,1.001,2.881,"May, April, October"
AL,Severe Storm,547,1.036,1.594,"April, December, March"
AL,Hurricane,264,0.501,1.157,"September, July, October"
AR,Severe Storm,660,1.185,2.408,"April, May, March"
AR,Flood,292,3.547,11.788,"April, May, June"
AZ,Flood,80,0.042,0.057,"July, September, January"
CA,Severe Storm,375,1.022,1.426,"February, January, December"
CA,Flood,357,0.891,1.203,"December, February, January"
CA,Fire,113,0.524,0.631,"August, October, September"
FL,Hurricane,856,4.885,6.945,"September, August, October"
FL,Severe Storm,272,0.391,0.792,"June, August, March"
FM,Typhoon,20,0.003,0.008,"July, November, April"
GA,Severe Storm,422,0.413,0.92,"March, January, December"
IA,Severe Storm,743,2.015,4.184,"May, June, December"
IA,Flood,722,0.964,1.229,"March, June, April"
ID,Flood,85,0.142,0.257,"March, February, April"
IL,Flood,323,0.473,0.865,"April, February, July"
IL,Severe Storm,297,0.301,0.545,"June, April, May"
IN,Severe Storm,667,0.886,2.012,"January, May, September"
KS,Severe Storm,1024,5.623,9.37,"December, May, April"
KY,Severe Storm,1355,11.068,26.139,"May, February, April"
KY,Flood,490,2.017,2.641,"February, March, April"
LA,Hurricane,803,2.437,4.494,"August, September, October"
LA,Flood,310,0.38,0.76,"March, May, August"
LA,Severe Storm,163,0.129,0.313,"October, January, May"
ME,Severe Storm,157,0.301,0.501,"December, March, April"
ME,Flood,106,0.128,0.207,"April, March, June"
MI,Flood,156,0.207,0.331,"April, August, June"
MN,Flood,665,1.547,2.484,"March, June, April"
MN,Severe Storm,433,0.605,1.033,"May, June, September"
MO,Severe Storm,1342,5.118,13.596,"May, April, March"
MO,Flood,415,0.374,0.775,"April, December, March"
MP,Typhoon,38,0.055,0.104,"August, October, June"
MS,Severe Storm,693,2.81,5.434,"April, February, March"
MS,Hurricane,420,1.069,3.039,"August, September, July"
MT,Flood,136,0.615,0.705,"March, May, June"
MT,Severe Storm,134,0.21,0.449,"April, May, June"
NC,Hurricane,551,1.204,2.583,"September, October, August"
ND,Flood,613,0.842,1.378,"February, March, April"
ND,Severe Storm,466,2.566,5.495,"April, June, March"
NE,Severe Storm,750,2.854,4.853,"May, June, December"
NE,Flood,345,0.734,1.161,"March, May, January"
NH,Severe Storm,100,0.251,0.369,"July, October, February"
NJ,Severe Storm,116,0.132,0.244,"April, March, January"
NM,Flood,86,0.318,0.895,"September, June, July"
NY,Severe Storm,349,0.355,1.141,"May, April, August"
NY,Flood,219,0.259,0.357,"April, June, May"
OH,Severe Storm,478,0.332,0.847,"August, December, June"
OH,Flood,157,0.317,0.558,"February, January, March"
OK,Severe Storm,888,1.825,2.776,"May, June, December"
OK,Flood,211,0.113,0.333,"April, June, January"
OK,Tornado,141,0.581,0.763,"May, April, January"
OR,Severe Storm,167,0.677,1.431,"December, January, February"
OR,Flood,122,0.068,0.106,"January, April, February"
PA,Flood,304,0.063,0.175,"September, October, January"
PA,Severe Storm,219,0.299,0.851,"September, June, July"
SD,Severe Storm,452,0.879,1.208,"June, May, December"
SD,Flood,438,1.327,1.938,"March, June, May"
TN,Severe Storm,875,2.864,7.236,"April, May, February"
TN,Flood,263,0.556,0.835,"February, August, January"
TX,Severe Storm,756,0.304,0.714,"May, June, December"
TX,Flood,610,3.745,6.889,"April, June, May"
TX,Hurricane,558,1.41,3.746,"September, July, August"
VA,Severe Storm,470,0.669,1.345,"January, June, February"
VA,Flood,278,0.011,0.016,"August, January, February"
VT,Severe Storm,173,0.544,0.706,"July, December, October"
VT,Flood,113,0.384,0.436,"July, April, June"
WA,Flood,271,0.511,0.879,"January, December, November"
WA,Severe Storm,263,0.574,1.29,"December, January, November"
WI,Severe Storm,281,0.388,1.021,"May, June, July"
WI,Flood,204,0.489,0.861,"April, July, August"
WV,Severe Storm,433,0.548,1.007,"June, May, February"
WV,Flood,304,0.364,0.539,"April, June, February"
